Sample Name	Acquisition Date & Time	Component Name	Area	IS Area	IS Name	Area Ratio	Retention Time	IS Retention Time
PR01_EXAMPLE_AAC_0001QC_A1	08/13/2015 17:44:45	AA-Q	8525635.79684763	562503.454026408	LEA-ISTD	15.1564311245289	5.84956420809061	3.93558836078746
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	2AG-Q	435340.023842521	35423.2947370643	2AG-ISTD	12.2875723909652	4.8710832377701	4.63791452473967
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	2AG-ISTD	35423.2947370643	N/A	N/A	N/A	4.63791452473967	N/A
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	AEA-Q	51577.9045	16164.9309908902	AEA-ISTD	3.19032011513463	4.01848069333279	3.9705300935026
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	AEA-ISTD	16164.9309908902	N/A	N/A	N/A	3.9705300935026	N/A
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	DHEA-Q	30603.9621805196	28237.9358750669	DHEA-ISTD	7.08399800551924	3.95499805135538	3.93763595269177
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	DHEA-ISTD	28237.9358750669	N/A	N/A	N/A	3.93763595269177	N/A
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	LEA-Q	588548.497691393	488810.616650005	LEA-ISTD	7.20404196972015	3.95616914956927	3.93451773308824
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	LEA-ISTD	488810.616650005	N/A	N/A	N/A	3.93451773308824	N/A
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	NADA-Q	1395.83027716728	10662.6088899647	NADA-ISTD	0.13090888839419	4.04361645463916	4.09383536585193
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	NADA-ISTD	10662.6088899647	N/A	N/A	N/A	4.09383536585193	N/A
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	OEA-Q	626354.057769798	474436.9262104	OEA-ISTD	7.92020678680499	4.9714527209198	4.9428426515651
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	OEA-ISTD	474436.9262104	N/A	N/A	N/A	4.9428426515651	N/A
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	PEA-Q	1402763.082	779597.27747291	PEA-ISTD	7.79934322827178	4.00844297440424	4.48721772800867
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	PEA-ISTD	779597.27747291	N/A	N/A	N/A	4.48721772800867	N/A
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	SEA-Q	486257.469260114	1134577.07799999	SEA-ISTD	0.428577164005176	6.94727039153695	6.9193797615818
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	SEA-ISTD	1134577.07799999	N/A	N/A	N/A	6.9193797615818	N/A
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	2AGE-Q	6353.48337966178	35423.2947370643	2AG-ISTD	0.179497882384004	5.46686253371735	4.63791452473967
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	DEA-Q	6594.87509032717	474436.9262104	OEA-ISTD	0.0139004429593414	5.14220086982861	4.9428426515651
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	DGLEA-Q	11193.9767414473	488810.616650005	LEA-ISTD	0.0229004370202996	4.01278059072122	3.93451773308824
