ID#	1							
Name	2_3-dinor-8-iso-PGF2a							
	Data Filename	Sample Type	Ret. Time	Area	S/N	ISTD Area	ISTD Ret.Time	Date Acquired
1	PR01_EXAMPLE_AAC_0001BLANK_A1.lcd	Unknown	-----	-----	-----	-----	-----	05/03/15 17:03
2	PR01_EXAMPLE_AAC_0001BLANK_A2.lcd	Unknown	-----	-----	-----	-----	-----	05/03/15 19:28
3	PR01_EXAMPLE_AAC_0001BLANK_B1.lcd	Unknown	-----	-----	-----	-----	-----	06/03/15 15:37
4	PR01_EXAMPLE_AAC_0001BLANK_B2.lcd	Unknown	-----	-----	-----	-----	-----	06/03/15 18:01
5	PR01_EXAMPLE_AAC_0001CAL0_A1.lcd	Unknown	3,401	646	4,47	44960	4,64	05/03/15 17:32
6	PR01_EXAMPLE_AAC_0001CAL0_A2.lcd	Unknown	3,385	1160	6,44	45485	4,631	06/03/15 16:06
7	PR01_EXAMPLE_AAC_0001CAL1_A1.lcd	Unknown	3,444	6756	53,46	40757	4,639	05/03/15 17:47
8	PR01_EXAMPLE_AAC_0001CAL1_A2.lcd	Unknown	3,432	6854	34,24	35861	4,629	06/03/15 16:21
9	PR01_EXAMPLE_AAC_0001CAL2_A1.lcd	Unknown	3,452	12361	72,27	38071	4,643	05/03/15 18:01
10	PR01_EXAMPLE_AAC_0001CAL2_A2.lcd	Unknown	3,432	11925	65,86	35392	4,629	06/03/15 16:35
11	PR01_EXAMPLE_AAC_0001CAL3_A1.lcd	Unknown	3,441	19401	149,34	38014	4,64	05/03/15 18:15
12	PR01_EXAMPLE_AAC_0001CAL3_A2.lcd	Unknown	3,421	19417	59,42	35652	4,626	06/03/15 16:50
13	PR01_EXAMPLE_AAC_0001CAL4_A1.lcd	Unknown	3,439	120794	687,32	45688	4,634	05/03/15 18:30
14	PR01_EXAMPLE_AAC_0001CAL4_A2.lcd	Unknown	3,435	113187	552,52	50669	4,629	06/03/15 17:04
15	PR01_EXAMPLE_AAC_0001CAL5_A1.lcd	Unknown	3,451	192751	1060,25	44369	4,646	05/03/15 18:44
16	PR01_EXAMPLE_AAC_0001CAL5_A2.lcd	Unknown	3,43	186830	875,11	45173	4,628	06/03/15 17:18
17	PR01_EXAMPLE_AAC_0001CAL6_A1.lcd	Unknown	3,437	443057	942,38	52934	4,634	05/03/15 18:59
18	PR01_EXAMPLE_AAC_0001CAL6_A2.lcd	Unknown	3,417	391797	770,6	47758	4,615	06/03/15 17:33
19	PR01_EXAMPLE_AAC_0001QC_A1.lcd	Unknown	3,451	819	6,45	40922	4,649	05/03/15 16:49
20	PR01_EXAMPLE_AAC_0001QC_A2.lcd	Unknown	-----	-----	-----	36653	4,644	05/03/15 17:18
21	PR01_EXAMPLE_AAC_0001QC_B1.lcd	Unknown	3,463	571	5,6	43126	4,64	05/03/15 19:13
22	PR01_EXAMPLE_AAC_0001QC_B2.lcd	Unknown	3,45	503	3,54	40000	4,638	05/03/15 19:42
23	PR01_EXAMPLE_AAC_0001QC_C1.lcd	Unknown	3,395	489	3,96	38279	4,644	05/03/15 22:06
24	PR01_EXAMPLE_AAC_0001QC_C2.lcd	Unknown	3,463	764	5,48	34211	4,646	06/03/15 00:30
25	PR01_EXAMPLE_AAC_0001QC_D1.lcd	Unknown	3,424	1613	3,49	36163	4,645	06/03/15 02:54
26	PR01_EXAMPLE_AAC_0001QC_D2.lcd	Unknown	3,424	1201	5,05	33533	4,642	06/03/15 05:18
27	PR01_EXAMPLE_AAC_0001QC_E1.lcd	Unknown	3,41	1019	6,06	47755	4,639	06/03/15 07:57
28	PR01_EXAMPLE_AAC_0001QC_E2.lcd	Unknown	3,421	1002	6,37	47954	4,638	06/03/15 10:35
29	PR01_EXAMPLE_AAC_0001QC_F1.lcd	Unknown	3,444	399	2,86	50512	4,619	06/03/15 13:13
