ID#	1							
Name	2_3-dinor-8-iso-PGF2a							
	Data Filename	Sample Type	Ret. Time	Area	S/N	ISTD Area	ISTD Ret.Time	Date Acquired
51	PR01_EXAMPLE_AAC_039_A1.lcd	Unknown	3,452	81	1,46	40485	4,571	12/03/15 05:32
52	PR01_EXAMPLE_AAC_039_B1.lcd	Unknown	3,352	695	1,64	42616	4,555	12/03/15 07:56
53	PR01_EXAMPLE_AAC_041_A1.lcd	Unknown	3,452	134	1,21	44792	4,575	12/03/15 01:56
54	PR01_EXAMPLE_AAC_044_A1.lcd	Unknown	3,492	510	0,32	44702	4,502	11/03/15 17:18
55	PR01_EXAMPLE_AAC_045_A1.lcd	Unknown	3,468	684	0,83	45355	4,546	12/03/15 11:46
56	PR01_EXAMPLE_AAC_048_A1.lcd	Unknown	3,477	270	2,83	45009	4,574	12/03/15 07:27
57	PR01_EXAMPLE_AAC_049_A1.lcd	Unknown	3,509	572	0,9	52905	4,583	12/03/15 00:29
58	PR01_EXAMPLE_AAC_050_A1.lcd	Unknown	3,372	401	5,58	43830	4,573	12/03/15 06:44
59	PR01_EXAMPLE_AAC_051_A1.lcd	Unknown	3,505	227	2,32	38686	4,573	12/03/15 04:20
60	PR01_EXAMPLE_AAC_054_A1.lcd	Unknown	3,509	931	0,53	20027	4,513	11/03/15 16:35
61	PR01_EXAMPLE_AAC_055_A1.lcd	Unknown	3,372	483	3,32	43647	4,572	12/03/15 04:06
62	PR01_EXAMPLE_AAC_056_A1.lcd	Unknown	3,381	1344	1,8	38182	4,55	12/03/15 12:01
63	PR01_EXAMPLE_AAC_056_B1.lcd	Unknown	3,483	547	2,43	40155	4,58	12/03/15 01:41
64	PR01_EXAMPLE_AAC_060_A1.lcd	Unknown	3,46	916	1,24	39261	4,512	11/03/15 15:52
65	PR01_EXAMPLE_AAC_061_A1.lcd	Unknown	3,365	245	1,47	42329	4,54	12/03/15 11:32
66	PR01_EXAMPLE_AAC_063_A1.lcd	Unknown	3,368	767	3,12	48677	4,58	12/03/15 00:15
67	PR01_EXAMPLE_AAC_064_A1.lcd	Unknown	3,343	407	3,37	39467	4,574	12/03/15 06:59
68	PR01_EXAMPLE_AAC_067_A1.lcd	Unknown	3,501	601	1,29	45983	4,566	12/03/15 04:35
69	PR01_EXAMPLE_AAC_068_A1.lcd	Unknown	3,406	333	1,01	33364	4,489	11/03/15 18:16
70	PR01_EXAMPLE_AAC_068_A3.lcd	Unknown	3,412	156	0,7	44351	4,547	11/03/15 20:44
71	PR01_EXAMPLE_AAC_074_A1_1.lcd	Unknown	3,492	674	1,81	47001	4,581	11/03/15 23:46
72	PR01_EXAMPLE_AAC_080_A1.lcd	Unknown	3,321	279	3,86	59133	4,572	12/03/15 00:58
73	PR01_EXAMPLE_AAC_087_A1.lcd	Unknown	3,38	277	0,75	46889	4,582	12/03/15 01:27
74	PR01_EXAMPLE_AAC_087_B1.lcd	Unknown	3,371	1645	2,86	45915	4,551	12/03/15 12:15
75	PR01_EXAMPLE_AAC_089_A1.lcd	Unknown	3,325	864	2,99	41924	4,57	12/03/15 03:37
76	PR01_EXAMPLE_AAC_089_B1.lcd	Unknown	3,361	400	2,91	39547	4,55	12/03/15 10:06
77	PR01_EXAMPLE_AAC_094_A1.lcd	Unknown	3,412	425	1,15	34865	4,546	12/03/15 12:44
78	PR01_EXAMPLE_AAC_103_A1.lcd	Unknown	3,37	799	2,16	41468	4,557	12/03/15 12:30
79	PR01_EXAMPLE_AAC_109_A1.lcd	Unknown	3,46	427	0,54	45556	4,537	12/03/15 11:03
80	PR01_EXAMPLE_AAC_112_A1.lcd	Unknown	3,502	168	0,78	33339	4,579	12/03/15 06:15
81	PR01_EXAMPLE_AAC_113_A1.lcd	Unknown	3,331	328	0,32	41036	4,509	11/03/15 16:06
82	PR01_EXAMPLE_AAC_114_A1.lcd	Unknown	3,374	453	3,8	44571	4,568	12/03/15 05:18
83	PR01_EXAMPLE_AAC_119_A1.lcd	Unknown	3,486	290	0,62	44096	4,555	12/03/15 15:08
84	PR01_EXAMPLE_AAC_121_A1.lcd	Unknown	-----	-----	-----	39726	4,575	12/03/15 02:25
85	PR01_EXAMPLE_AAC_123_A1.lcd	Unknown	3,363	654	0,84	46661	4,538	12/03/15 10:20
