Sample							Inositol Results		IS04 - D4-Citric daci (ISTD) Results		OA01 - 2-hydroxybutyric daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA03 - Citric daci Results		IS04 - D4-Citric daci (ISTD) Results		OA04 - Glutamic daci Results		IS04 - D4-Citric daci (ISTD) Results		OA06 - Glycolic daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA07 - Lactic daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA08 - Malic daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA09 - 2-ketoglutaric daci Results		IS04 - D4-Citric daci (ISTD) Results		OA11 - Succinic daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA12 - Fumaric daci Results		IS03 - D2-Fumaric daci (ISTD) Results		OA13 - Pyruvic daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA15 - Pyroglutamic daci Results		IS04 - D4-Citric daci (ISTD) Results		OA17 - 3-Hydroxybutyric daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA20 - Aspartic daci Results		IS04 - D4-Citric daci (ISTD) Results		OA26 - 3-Hydroxyisobutyric daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA27 - 3-hydroxyisovaleric daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA28 - Glyceric daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA29 - Uracil Results		IS04 - D4-Citric daci (ISTD) Results		OA33 - 3-Hydroxypropionic daci Results		IS04 - D4-Citric daci (ISTD) Results	
		Name	Data File	Type	Level	Acq. Date-Time	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area
 	 	PR01_EXAMPLE_0142_A1	PR01_EXAMPLE_0142_A1.D	Sample		1-1-2010 10:49	36,882	991697	30,338	783066	9,627	750474	15,335	446872	30,382	974677	30,338	783066	24,815	2896622	30,338	783066	8,122	10698	15,335	446872	7,771	15528049	15,335	446872	21,101	38246	15,335	446872	23,603	64277	30,338	783066	15,412	18939	15,335	446872	16,439	78806	16,420	2105256	7,445	456122	15,335	446872	21,700	1690599	30,338	783066	10,613	494131	15,335	446872	21,984	572260	30,338	783066	10,640	38290	15,335	446872	12,087	28625	15,335	446872	16,219	101187	15,335	446872	16,208	1009	30,338	783066	10,152	5876	30,338	783066
 	 	PR01_EXAMPLE_0150_A1	PR01_EXAMPLE_0150_A1.D	Sample		1-1-2010 11:41	36,877	1549833	30,335	660154	9,624	434840	15,332	386657	30,382	1306829	30,335	660154	24,812	1707551	30,335	660154	8,133	10799	15,332	386657	7,763	14276124	15,332	386657	21,095	44277	15,332	386657	23,603	49472	30,335	660154	15,412	20848	15,332	386657	16,434	71982	16,412	1827110	7,446	324452	15,332	386657	21,695	1886384	30,335	660154	10,619	2545472	15,332	386657	21,982	395942	30,335	660154	10,638	30790	15,332	386657	12,088	16566	15,332	386657	16,222	117118	15,332	386657	16,224	1245	30,335	660154	10,152	4427	30,335	660154
 	 	PR01_EXAMPLE_0145_A1	PR01_EXAMPLE_0145_A1.D	Sample		1-1-2010 12:34	36,883	1922868	30,338	735835	9,710	520676	15,379	443260	30,379	1110062	30,338	735835	24,804	1701385	30,338	735835	8,260	15864	15,379	443260	7,899	15568875	15,379	443260	21,107	32747	15,379	443260	23,603	24758	30,338	735835	15,454	40123	15,379	443260	16,473	79333	16,451	2110711	7,603	193158	15,379	443260	21,717	4005767	30,338	735835	10,690	243692	15,379	443260	21,993	430496	30,338	735835	10,712	49891	15,379	443260	12,140	28869	15,379	443260	16,244	119119	15,379	443260	16,263	3048	30,338	735835	10,257	5943	30,338	735835
 	 	PR01_EXAMPLE_0143_A1	PR01_EXAMPLE_0143_A1.D	Sample		1-1-2010 13:27	36,885	515108	30,330	359469	9,677	550997	15,346	256227	30,377	548622	30,330	359469	24,810	635867	30,330	359469	8,200	7636	15,346	256227	7,835	15058031	15,346	256227	21,104	21636	15,346	256227	23,611	14815	30,330	359469	15,426	23505	15,346	256227	16,454	46537	16,431	1126697	7,534	244870	15,346	256227	21,706	1612812	30,330	359469	10,638	397226	15,346	256227	21,993	171573	30,330	359469	10,660	51949	15,346	256227	12,110	27614	15,346	256227	16,238	55502	15,346	256227	16,246	1796	30,330	359469	10,155	4557	30,330	359469
 	 	PR01_EXAMPLE_0008_A1	PR01_EXAMPLE_0008_A1.D	Sample		1-1-2010 14:19	36,880	695699	30,335	813854	9,635	1732770	15,332	437177	30,374	342204	30,335	813854	24,815	3888508	30,335	813854	8,136	9253	15,332	437177	7,794	22390174	15,332	437177	21,101	21905	15,332	437177	23,600	92055	30,335	813854	15,407	26477	15,332	437177	16,448	62498	16,417	2068091	7,451	264738	15,332	437177	21,711	4867130	30,335	813854	10,627	200976	15,332	437177	21,985	497135	30,335	813854	10,649	51488	15,332	437177	12,093	122792	15,332	437177	16,213	71853	15,332	437177	16,213	3191	30,335	813854	10,188	9487	30,335	813854
 	 	PR01_EXAMPLE_0193_A1	PR01_EXAMPLE_0193_A1.D	Sample		1-1-2010 15:12	36,880	306471	30,330	680851	9,682	1252003	15,340	440522	30,377	312411	30,330	680851	24,809	1277414	30,330	680851	8,210	7988	15,340	440522	7,846	13363817	15,340	440522	21,101	9470	15,340	440522	23,617	17301	30,330	680851	15,418	9500	15,340	440522	16,453	47478	16,429	2135733	7,550	181908	15,340	440522	21,703	3492481	30,330	680851	10,674	2689890	15,340	440522	21,990	598388	30,330	680851	10,687	31468	15,340	440522	12,115	41343	15,340	440522	16,219	34235	15,340	440522	16,230	1283	30,330	680851	10,237	1006	30,330	680851
 	 	PR01_EXAMPLE_0151_A1	PR01_EXAMPLE_0151_A1.D	Sample		1-1-2010 16:05	36,877	631225	30,332	733352	9,685	1938167	15,349	434532	30,371	382547	30,332	733352	24,809	722114	30,332	733352	8,210	7971	15,349	434532	7,846	13180822	15,349	434532	21,101	10905	15,349	434532	23,608	22418	30,332	733352	15,418	16145	15,349	434532	16,453	47197	16,429	2099539	7,553	203048	15,349	434532	21,703	2657641	30,332	733352	10,663	3567740	15,349	434532	21,993	699835	30,332	733352	10,676	21343	15,349	434532	12,115	35773	15,349	434532	16,227	59999	15,349	434532	16,249	821	30,332	733352	10,171	4028	30,332	733352
 	 	PR01_EXAMPLE_0011_B1	PR01_EXAMPLE_0011_B1.D	Sample		1-1-2010 16:57	36,888	648190	30,338	817216	9,641	1531156	15,338	459637	30,385	444127	30,338	817216	24,809	675500	30,338	817216	8,147	7635	15,338	459637	7,794	21045786	15,338	459637	21,104	18661	15,338	459637	23,625	14483	30,338	817216	15,412	12410	15,338	459637	16,440	58239	16,423	2144553	7,462	498176	15,338	459637	21,700	1575126	30,338	817216	10,632	326778	15,338	459637	21,987	563105	30,338	817216	10,652	52931	15,338	459637	12,099	70568	15,338	459637	16,216	66589	15,338	459637	16,219	2323	30,338	817216	10,213	4735	30,338	817216
 	 	PR01_EXAMPLE_0096_A1	PR01_EXAMPLE_0096_A1.D	Sample		1-1-2010 17:50	36,871	325819	30,335	739596	9,627	2408740	15,318	439292	30,379	385382	30,335	739596	24,809	1017439	30,335	739596	8,122	8130	15,318	439292	7,747	12866240	15,318	439292	21,106	12427	15,318	439292	23,630	11051	30,335	739596	15,393	6169	15,318	439292	16,423	49082	16,409	2080383	7,435	300057	15,318	439292	21,697	2446656	30,335	739596	10,638	3505568	15,318	439292	21,990	677530	30,335	739596	10,654	37388	15,318	439292	12,090	48538	15,318	439292	16,208	36913	15,318	439292	16,219	1327	30,335	739596	10,207	3275	30,335	739596
 	 	PR01_EXAMPLE_0076_A1	PR01_EXAMPLE_0076_A1.D	Sample		1-1-2010 18:43	36,883	344923	30,327	489517	9,691	1243396	15,357	342242	30,377	303866	30,327	489517	24,812	993325	30,327	489517	8,233	6987	15,357	342242	7,871	19534183	15,357	342242	21,112	11782	15,357	342242	23,608	50476	30,327	489517	15,429	19274	15,357	342242	16,456	39392	16,434	1584058	7,564	422228	15,357	342242	21,703	2036445	30,327	489517	10,660	115011	15,357	342242	21,996	643384	30,327	489517	10,682	43320	15,357	342242	12,135	49915	15,357	342242	16,230	83350	15,357	342242	16,246	1522	30,327	489517	10,199	3401	30,327	489517
