Sample							Inositol Results		IS04 - D4-Citric daci (ISTD) Results		OA01 - 2-hydroxybutyric daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA03 - Citric daci Results		IS04 - D4-Citric daci (ISTD) Results		OA04 - Glutamic daci Results		IS04 - D4-Citric daci (ISTD) Results		OA06 - Glycolic daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA07 - Lactic daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA08 - Malic daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA09 - 2-ketoglutaric daci Results		IS04 - D4-Citric daci (ISTD) Results		OA11 - Succinic daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA12 - Fumaric daci Results		IS03 - D2-Fumaric daci (ISTD) Results		OA13 - Pyruvic daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA15 - Pyroglutamic daci Results		IS04 - D4-Citric daci (ISTD) Results		OA17 - 3-Hydroxybutyric daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA20 - Aspartic daci Results		IS04 - D4-Citric daci (ISTD) Results		OA26 - 3-Hydroxyisobutyric daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA27 - 3-hydroxyisovaleric daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA28 - Glyceric daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA29 - Uracil Results		IS04 - D4-Citric daci (ISTD) Results		OA33 - 3-Hydroxypropionic daci Results		IS04 - D4-Citric daci (ISTD) Results	
		Name	Data File	Type	Level	Acq. Date-Time	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area
 	 	PR01_EXAMPLE_0001QC_A1	PR01_EXAMPLE_0001QC_A1.D	Sample		25-12-2009 20:10	39,177	846562	33,995	623963	9,666	1484660	15,998	442543	33,177	496436	33,995	623963	24,107	1039905	33,995	623963	8,188	12369	15,998	442543	7,113	18719737	15,998	442543	23,093	19333	15,998	442543	23,617	30677	33,995	623963	15,410	17590	15,998	442543	19,451	57911	19,420	2063525	7,509	337579	15,998	442543	23,708	3465156	33,995	623963	13,660	1604506	15,998	442543	23,185	512782	33,995	623963	13,676	48593	15,998	442543	19,112	50135	15,998	442543	19,219	82025	15,998	442543	19,233	4373	33,995	623963	13,237	3581	33,995	623963
 	 	PR01_EXAMPLE_0001QC_B1	PR01_EXAMPLE_0001QC_B1.D	Sample		25-12-2009 21:03	39,183	755953	33,990	579628	9,616	1479322	15,118	444819	33,179	461548	33,990	579628	24,107	1024262	33,990	579628	8,103	11093	15,118	444819	7,760	16706136	15,118	444819	23,093	18816	15,118	444819	23,608	32922	33,990	579628	15,407	11606	15,118	444819	19,431	65418	19,412	2085509	7,424	323241	15,118	444819	23,700	2256933	33,990	579628	13,624	1623287	15,118	444819	23,187	473448	33,990	579628	13,641	49250	15,118	444819	19,085	50596	15,118	444819	19,208	71240	15,118	444819	19,213	3670	33,990	579628	13,190	4324	33,990	579628
	 	PR01_EXAMPLE_0001BLANK_A1	PR01_EXAMPLE_0001BLANK_A1.D	Sample		25-12-2009 21:55	39,786	0	33,121	0	9,619	774	15,124	0	33,168	0	33,121	0	24,101	0	33,121	0	8,106	1848	15,124	0	7,694	548874	15,124	0	23,093	0	15,124	0	23,617	0	33,121	0	15,188	679	15,124	0	19,462	62	19,431	393	7,407	991	15,124	0	23,185	32	33,121	0	13,654	1553	15,124	0	23,176	0	33,121	0	13,544	0	15,124	0	19,082	553	15,124	0	19,194	1657	15,124	0	19,115	101	33,121	0	13,191	25	33,121	0
 	 	PR01_EXAMPLE_0001CAL0_A1	PR01_EXAMPLE_0001CAL0_A1.D	Sample		25-12-2009 22:48	39,174	887864	33,995	762995	9,638	1616758	15,129	489722	33,177	629095	33,995	762995	24,104	549547	33,995	762995	8,144	12809	15,129	489722	7,791	18472746	15,129	489722	23,098	24195	15,129	489722	23,619	17002	33,995	762995	15,401	23735	15,129	489722	19,440	65268	19,417	2295332	7,468	188949	15,129	489722	23,706	2713189	33,995	762995	13,618	1760883	15,129	489722	23,182	229574	33,995	762995	13,641	53605	15,129	489722	19,099	52692	15,129	489722	19,213	103832	15,129	489722	19,224	4558	33,995	762995	13,121	9051	33,995	762995
 	 	PR01_EXAMPLE_0001CAL2_A1	PR01_EXAMPLE_0001CAL2_A1.D	Sample		25-12-2009 23:41	39,177	785235	33,995	670572	9,616	1525143	15,121	442526	33,179	671479	33,995	670572	24,107	1181466	33,995	670572	8,105	11045	15,121	442526	7,760	16880740	15,121	442526	23,104	34474	15,121	442526	23,616	27535	33,995	670572	15,401	17659	15,121	442526	19,431	71708	19,412	2044663	7,426	289497	15,121	442526	23,706	2481766	33,995	670572	13,618	1696839	15,121	442526	23,184	580723	33,995	670572	13,635	57356	15,121	442526	19,085	73059	15,121	442526	19,205	94686	15,121	442526	19,219	7864	33,995	670572	13,179	7969	33,995	670572
 	 	PR01_EXAMPLE_0001CAL4_A1	PR01_EXAMPLE_0001CAL4_A1.D	Sample		26-12-2009 0:34	39,180	848087	33,995	801934	9,619	1809538	15,121	473445	33,185	1200733	33,995	801934	24,107	1696021	33,995	801934	8,106	14616	15,121	473445	7,766	18551931	15,121	473445	23,101	77959	15,121	473445	23,606	44294	33,995	801934	15,401	32524	15,121	473445	19,429	111777	19,412	2226511	7,426	492634	15,121	473445	23,700	3472355	33,995	801934	13,627	2048552	15,121	473445	23,187	918781	33,995	801934	13,643	85954	15,121	473445	19,088	152919	15,121	473445	19,208	162906	15,121	473445	19,213	21772	33,995	801934	13,207	17788	33,995	801934
 	 	PR01_EXAMPLE_0001CAL6_A1	PR01_EXAMPLE_0001CAL6_A1.D	Sample		26-12-2009 1:26	39,182	951194	33,146	1003239	9,627	2812375	15,124	503440	33,199	3641334	33,146	1003239	24,109	3172781	33,146	1003239	8,122	29060	15,124	503440	7,788	23188219	15,124	503440	23,101	283416	15,124	503440	23,608	72715	33,146	1003239	15,198	101138	15,124	503440	19,439	277809	19,415	2406836	7,434	869137	15,124	503440	23,711	7206591	33,146	1003239	13,640	3304148	15,124	503440	23,190	2041961	33,146	1003239	13,660	201257	15,124	503440	19,087	499745	15,124	503440	19,210	467396	15,124	503440	19,210	72993	33,146	1003239	13,212	57746	33,146	1003239
 	 	PR01_EXAMPLE_0001QC_C1	PR01_EXAMPLE_0001QC_C1.D	Sample		26-12-2009 2:19	39,182	902257	33,995	724089	9,613	1644145	15,121	502033	33,182	566476	33,995	724089	24,112	1818461	33,995	724089	8,106	11989	15,121	502033	7,760	18130670	15,121	502033	23,101	22686	15,121	502033	23,619	45958	33,995	724089	15,199	12524	15,121	502033	19,440	75237	19,412	2381932	7,421	517913	15,121	502033	23,697	2523619	33,995	724089	13,627	1809189	15,121	502033	23,193	848234	33,995	724089	13,641	55441	15,121	502033	19,085	56140	15,121	502033	19,210	76521	15,121	502033	19,210	4418	33,995	724089	13,213	3677	33,995	724089
	 	PR01_EXAMPLE_0001BLANK_A2	PR01_EXAMPLE_0001BLANK_A2.D	Sample		26-12-2009 3:12	37,116	185	33,283	0	9,608	692	15,252	0	33,171	0	33,283	0	24,110	0	33,283	0	8,086	1218	15,252	0	7,686	368205	15,252	0	23,115	0	15,252	0	23,641	0	33,283	0	15,190	360	15,252	0	19,456	188	19,437	1250	7,407	863	15,252	0	23,637	0	33,283	0	13,583	1230	15,252	0	23,182	0	33,283	0	13,480	0	15,252	0	19,088	583	15,252	0	19,199	1321	15,252	0	19,241	130	33,283	0	13,171	0	33,283	0
