sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	2-OG-Q	5.90321194287848	89453.2359999994	2AG-ISTD	4.63594739993578	32345.2053970061
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	2AG-Q	4.86263886479319	352625.059187672	2AG-ISTD	4.63594739993578	32345.2053970061
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	2AGE-Q	5.45609739640434	2678.05156815142	2AG-ISTD	4.63594739993578	32345.2053970061
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	AA-Q	5.83245017051896	8565163.05716298	LEA-ISTD	3.93138350491722	323317.957411852
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	AEA-Q	4.01354900923543	31063.7564999998	AEA-ISTD	3.96361731990472	9276.01568894298
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	Alpha-LEA-Q	3.25921575933878	7763.67599999999	LEA-ISTD	3.93138350491722	323317.957411852
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	COR-Q	0.09108583137917	2494730.48928098	PEA-ISTD	4.48130850082531	503193.430827408
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	DEA-Q	5.13022556265429	3122.06854850657	OEA-ISTD	4.93815822455209	267798.236703209
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	DGLEA-Q	4.00753815383865	4143.81476170733	LEA-ISTD	3.93138350491722	323317.957411852
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	DHEA-Q	3.93887360485015	10737.0679763702	DHEA-ISTD	3.92795658156554	17758.0965322915
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	EPEA-Q	3.94071042513194	4003.98007860969	LEA-ISTD	3.93138350491722	323317.957411852
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	ETAEA-Q	4.90482868481262	838.843120483927	PEA-ISTD	4.48130850082531	503193.430827408
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	LEA-Q	3.95263979070644	436303.631399916	LEA-ISTD	3.93138350491722	323317.957411852
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	NADA-Q	4.48131923926468	1130.92276552979	NADA-ISTD	4.08068309996493	12183.1799738097
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	O-AEA	3.22161917343874	8.48184206450662	AEA-ISTD	3.96361731990472	9276.01568894298
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	OAG-Q	6.40833317762109	450.08800000001	(No IS)		
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	OEA-Q	4.96378958679837	274484.099614771	OEA-ISTD	4.93815822455209	267798.236703209
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	PDEA-Q	3.75932513238118	29094.149	LEA-ISTD	3.93138350491722	323317.957411852
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	PEA-Q	4.00136822003946	831220.256999999	PEA-ISTD	4.48130850082531	503193.430827408
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	POEA-Q	3.00783168501133	96902.6276374371	OEA-ISTD	4.93815822455209	267798.236703209
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	SEA-Q	6.93508178620184	263508.811499999	SEA-ISTD	6.90922873593444	835777.162999996
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	1-LG-Q	4.95633526252353	230397.167537792	2AG-ISTD	4.62745662874323	37995.939871595
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	1-OG-Q	6.20099421848164	664193.678999997	2AG-ISTD	4.62745662874323	37995.939871595
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	2-LG-Q	4.73087298874455	24373.0809308583	2AG-ISTD	4.62745662874323	37995.939871595
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	2-OG-Q	5.90327053657022	76806.9209999999	2AG-ISTD	4.62745662874323	37995.939871595
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	2AG-Q	4.86256422161598	342357.909856266	2AG-ISTD	4.62745662874323	37995.939871595
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	2AGE-Q	5.97091435570373	1870.44382148588	2AG-ISTD	4.62745662874323	37995.939871595
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	AA-Q	5.83457622714521	6802365.46469487	LEA-ISTD	3.93048667838686	320913.777136121
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	AEA-Q	4.01099092251715	36433.6685	AEA-ISTD	3.9653254789859	9355.8010338551
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	Alpha-LEA-Q	3.26160361263884	13023.451	LEA-ISTD	3.93048667838686	320913.777136121
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	COR-Q	0.090819110600576	4708350.12484766	PEA-ISTD	4.48151032626676	529087.777075898
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	DEA-Q	5.12431299846455	2343.21244771595	OEA-ISTD	4.93993061984746	267197.657909083
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	DGLEA-Q	4.0017272104437	7385.64302192916	LEA-ISTD	3.93048667838686	320913.777136121
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	DHEA-Q	3.95270330508522	28688.9946522186	DHEA-ISTD	3.93048705991121	16283.9361451874
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	EPEA-Q	3.9414524366054	3174.79069550527	LEA-ISTD	3.93048667838686	320913.777136121
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	ETAEA-Q	4.00696847454157	4226.63445166062	PEA-ISTD	4.48151032626676	529087.777075898
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	LEA-Q	3.95142828711644	558007.297876338	LEA-ISTD	3.93048667838686	320913.777136121
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	NADA-Q	4.79578539339464	1605.05408188928	NADA-ISTD	4.05313859373965	26000.7300845464
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	O-AEA	3.23285570922461	38.2378947110091	AEA-ISTD	3.9653254789859	9355.8010338551
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	OAG-Q	6.01813308550186	884.903999999995	(No IS)		
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	OEA-Q	4.96475127354	421377.988364229	OEA-ISTD	4.93993061984746	267197.657909083
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	PDEA-Q	3.75832383873448	32634.9235	LEA-ISTD	3.93048667838686	320913.777136121
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	PEA-Q	4.00382533111949	1008923.894	PEA-ISTD	4.48151032626676	529087.777075898
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	POEA-Q	3.00693021813566	116415.0815	OEA-ISTD	4.93993061984746	267197.657909083
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	SEA-Q	6.9358753136062	349723.984999999	SEA-ISTD	6.90851953281002	860367.931499996
pr01_example_aac_0048	pr01_example_aac_0048_b1	sample	1	b	1	3	2013-11-01 00:43:29:00	1-LG-Q	4.95699089250269	212203.703586893	2AG-ISTD	4.62766657802905	35328.1368175881
pr01_example_aac_0048	pr01_example_aac_0048_b1	sample	1	b	1	3	2013-11-01 00:43:29:00	1-OG-Q	6.19955173985526	854933.707000001	2AG-ISTD	4.62766657802905	35328.1368175881
pr01_example_aac_0048	pr01_example_aac_0048_b1	sample	1	b	1	3	2013-11-01 00:43:29:00	2-LG-Q	4.72526986900837	23707.9192007542	2AG-ISTD	4.62766657802905	35328.1368175881
pr01_example_aac_0048	pr01_example_aac_0048_b1	sample	1	b	1	3	2013-11-01 00:43:29:00	2-OG-Q	5.90186152061573	92097.0214999998	2AG-ISTD	4.62766657802905	35328.1368175881
pr01_example_aac_0048	pr01_example_aac_0048_b1	sample	1	b	1	3	2013-11-01 00:43:29:00	2AG-Q	4.8668103066066	423370.263618285	2AG-ISTD	4.62766657802905	35328.1368175881
pr01_example_aac_0048	pr01_example_aac_0048_b1	sample	1	b	1	3	2013-11-01 00:43:29:00	2AGE-Q	4.74556167185296	2743.41435849369	2AG-ISTD	4.62766657802905	35328.1368175881
pr01_example_aac_0048	pr01_example_aac_0048_b1	sample	1	b	1	3	2013-11-01 00:43:29:00	AA-Q	5.83308846108399	7811125.05770624	LEA-ISTD	3.93071578511015	354390.438269004
pr01_example_aac_0048	pr01_example_aac_0048_b1	sample	1	b	1	3	2013-11-01 00:43:29:00	AEA-Q	4.00674983810014	40352.1045	AEA-ISTD	3.96355543557653	10577.097955235
pr01_example_aac_0048	pr01_example_aac_0048_b1	sample	1	b	1	3	2013-11-01 00:43:29:00	Alpha-LEA-Q	3.25939874889949	12216.7435	LEA-ISTD	3.93071578511015	354390.438269004
pr01_example_aac_0048	pr01_example_aac_0048_b1	sample	1	b	1	3	2013-11-01 00:43:29:00	COR-Q	0.091345925846239	5389865.05450168	PEA-ISTD	4.48328671095683	585336.498619586
pr01_example_aac_0048	pr01_example_aac_0048_b1	sample	1	b	1	3	2013-11-01 00:43:29:00	DEA-Q	5.12976148820502	4012.04845870095	OEA-ISTD	4.93726628526449	299344.923853886
pr01_example_aac_0048	pr01_example_aac_0048_b1	sample	1	b	1	3	2013-11-01 00:43:29:00	DGLEA-Q	4.49422349009918	9572.07817653002	LEA-ISTD	3.93071578511015	354390.438269004
pr01_example_aac_0048	pr01_example_aac_0048_b1	sample	1	b	1	3	2013-11-01 00:43:29:00	DHEA-Q	3.94637993597583	30783.9352463551	DHEA-ISTD	3.93147771124833	17920.2977097385
pr01_example_aac_0048	pr01_example_aac_0048_b1	sample	1	b	1	3	2013-11-01 00:43:29:00	EPEA-Q	3.93426324736231	3715.06840253052	LEA-ISTD	3.93071578511015	354390.438269004
pr01_example_aac_0048	pr01_example_aac_0048_b1	sample	1	b	1	3	2013-11-01 00:43:29:00	ETAEA-Q	4.9840126116527	594.463310214209	PEA-ISTD	4.48328671095683	585336.498619586
pr01_example_aac_0048	pr01_example_aac_0048_b1	sample	1	b	1	3	2013-11-01 00:43:29:00	LEA-Q	3.95094948681594	501183.999422529	LEA-ISTD	3.93071578511015	354390.438269004
pr01_example_aac_0048	pr01_example_aac_0048_b1	sample	1	b	1	3	2013-11-01 00:43:29:00	NADA-Q	4.75300277954544	1143.86970684387	NADA-ISTD	4.08641377774312	10778.6033356583
